people,Rhonda,Bob,Chris,Diane,William,Mary,Megan,Maura,Carrie,Lesley,Lindsey,Amy,Eva,Evan,Keith,Anne,Carter,Pierce,Andrew B.,Paige,Nick,Jon,Caleb,Jasey,Lily,Anna,Nikita,Florian,Lauren,Samyak,George,Tyler,Matthew,Blake,Isaac L.,Kate,Sub,Luke P.,Suyogya,Ryan,Devon,Marc,Logan,Andrew S.,Abraham,Isaac,Luke S.,Akhil,Ty,Jack,
Rhonda,0,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,11,-1,-1,-1,
Bob,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,15,-1,-1,-1,-1,-1,-1,
Chris,-1,-1,0,-1,-1,-1,-1,-1,-1,15,19,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Diane,13,-1,-1,0,-1,13,-1,-1,-1,-1,-1,-1,13,-1,11,-1,-1,19,13,-1,-1,-1,-1,13,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,
William,-1,-1,-1,-1,0,-1,-1,-1,11,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,17,-1,-1,-1,11,-1,
Mary,-1,-1,-1,13,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,12,-1,-1,16,-1,
Megan,-1,-1,-1,-1,-1,-1,0,-1,18,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,
Maura,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,12,-1,-1,-1,15,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Carrie,-1,-1,-1,-1,11,-1,18,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,16,13,-1,
Lesley,-1,-1,15,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,14,-1,-1,-1,13,
Lindsey,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,0,12,-1,16,18,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,16,15,13,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Amy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,0,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,19,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,11,16,-1,19,-1,-1,-1,-1,-1,-1,
Eva,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,18,-1,-1,-1,17,11,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Evan,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,16,17,-1,0,-1,-1,-1,-1,17,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,11,11,-1,-1,-1,-1,15,-1,
Keith,-1,13,-1,11,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,0,-1,-1,-1,-1,-1,16,11,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,13,-1,
Anne,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,16,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,14,-1,-1,13,-1,-1,14,-1,-1,-1,15,-1,-1,16,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Carter,19,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,14,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,
Pierce,-1,-1,18,19,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,19,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,13,-1,-1,-1,-1,17,
Andrew B.,-1,12,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,16,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,14,19,-1,17,
Paige,-1,-1,-1,-1,-1,-1,11,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,18,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,
Nick,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,16,-1,-1,19,-1,-1,0,-1,-1,-1,-1,-1,16,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Jon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,18,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,13,-1,
Caleb,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,12,11,-1,-1,14,-1,-1,-1,-1,-1,-1,0,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,14,-1,
Jasey,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,11,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,15,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,
Lily,18,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,13,0,13,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,11,-1,-1,17,-1,
Anna,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,14,-1,-1,-1,-1,-1,-1,11,13,0,-1,19,-1,-1,13,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,12,-1,-1,-1,14,-1,-1,
Nikita,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,11,-1,11,-1,-1,-1,16,-1,-1,-1,-1,-1,0,13,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,19,-1,-1,
Florian,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,19,13,0,-1,-1,11,-1,-1,-1,-1,-1,-1,18,-1,18,13,-1,-1,15,-1,-1,-1,-1,-1,-1,
Lauren,-1,17,-1,-1,-1,-1,11,15,-1,12,-1,-1,11,-1,-1,14,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Samyak,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,11,-1,-1,0,-1,-1,16,-1,-1,11,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,
George,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,13,-1,-1,-1,13,-1,11,-1,-1,0,-1,-1,14,-1,-1,13,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Tyler,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,15,18,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,
Matthew,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,0,12,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,
Blake,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,18,-1,-1,-1,-1,-1,-1,14,-1,12,0,-1,17,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,
Isaac L.,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,18,18,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,17,11,-1,13,-1,-1,-1,-1,-1,15,-1,-1,
Kate,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,15,-1,15,-1,-1,16,-1,-1,16,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,19,17,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,
Sub,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,15,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,0,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Luke P.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,15,-1,11,-1,18,18,-1,19,-1,-1,-1,-1,-1,13,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Suyogya,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,17,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,
Ryan,-1,-1,15,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,0,-1,-1,17,-1,-1,-1,-1,-1,12,-1,
Devon,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,11,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,12,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,18,-1,18,-1,-1,-1,16,15,
