people,Rhonda,Bob,Dan,Diane,William,Mary,Megan,Maura,Carrie,Lesley,Lindsey,Amy,Eva,Evan,Keith
Rhonda,0,-1,-1,-1,45,-1,-1,-1,120,10,-1,-1,-1,-1,-1
Bob,-1,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
Dan,-1,15,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Diane,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1
William,45,-1,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mary,-1,-1,-1,-1,20,0,-1,20,-1,-1,-1,-1,-1,-1,-1
Megan,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,16,-1,-1
Maura,-1,-1,-1,-1,-1,20,-1,0,159,-1,-1,-1,-1,-1,-1
Carrie,120,-1,-1,-1,-1,-1,-1,159,0,64,-1,-1,-1,-1,-1
Lesley,10,-1,-1,-1,-1,-1,-1,-1,64,0,-1,-1,-1,-1,-1
Lindsey,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,30,-1,-1,-1
Amy,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,30,0,20,-1,-1
Eva,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,20,0,-1,-1
Evan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,23
Keith,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,0
															
